"Words","Coefficients"
"mixologist",0
"mixologists",0
"miyagisans",0
"moderately",-0.408978831552667
"moderation",0
"modernized",-0.812428143372905
"mondayfriday",-0.00515145233197258
"monstrosity",0.357246438996425
"mortadella",0
"motherinlaw",-0.0469572455180877
"motivation",0.892748587543111
"mouthwatering",-0.596453264461416
"mozzarella",-0.360755792848484
"mozzerella",0
"multicolored",0
"multigrain",0
"multilevel",0
"mysterious",0
"mysteriously",0
"nauseating",1.12341019841844
"navigating",0
"navigation",0
"necessarily",0
"necessities",0
"negatively",0
"negativity",-0.675976662266823
"neglectful",0
"neighborhood",-0.388311168433314
"neighborhoods",0
"neighboring",0
"networking",-0.0816698647492901
"neverending",0
"nevertheless",-0.0808271293437653
"newsletter",-0.0493110131469829
"newspapers",-0.241141120683238
"nightclubs",0
"nightearly",0
"nightmares",0.715471321252699
"nightmorning",0
"nightstand",0
"nitpicking",0
